Student_id, score
N00002190, 87
N00002190, 59
N00002190, 87
N00002190, 86
N00002190, 68
N00002190, 87
N00002190, 70
N00002190, 73
N00002190, 82
N00002190, 72
N00002190, 71
N00002190, 82
N00002190, 72
N00002190, 84
N00002190, 69
N00002190, 71
N00002190, 74
N00002190, 78
N00002190, 69
N00002190, 77
N00002190, 78
N00002190, 73
N00002190, 65
N00002190, 90
N00002190, 81
N00002190, 74
N00002190, 63
N00002190, 72
N00002190, 71
N00002190, 82
N00002190, 82
N00002190, 68
N00002190, 92
N00002190, 83
N00002190, 80
N00002190, 90
N00002190, 78
N00002190, 77
N00002190, 84
N00002190, 87
N00002190, 62
N00002190, 86
N00002190, 77
N00002190, 64
N00002190, 76
N00002190, 78
N00002190, 74
N00002190, 78
N00002190, 74
